Base address,Reg address,Reg name,Reg cat,Model Cat,Read,Write,Correct cat,Comments GT,,
0x40000000,0x40000000,TIM1&TIM8 control register 1 (TIMx_CR1)  ,CR,CR,1,1,Yes,,,
0x40000000,0x40000004,17.4.2TIM1&TIM8 control register 2 (TIMx_CR2)  ,CR,DR,0,1,NO,,,
0x40000000,0x40000008,TIM1&TIM8 slave mode control register (TIMx_SMCR)  ,CR,DR,0,1,NO,,,
0x40000000,0x4000000c,17.4.4TIM1&TIM8 DMA/interrupt enable register (TIMx_DIER)   ,CR,CR,1,1,Yes,,,
0x40000000,0x40000010,18TIM1&TIM8 status register (TIMx_SR)   ,SR,DR,1,1,NO,,,
0x40000000,0x40000018,17.4.6TIM1&TIM8 capture/compare mode register 1 (TIMx_CCMR1)  ,CR,DR,0,1,NO,,,
0x40000000,0x4000001c,17.4.7TIM1&TIM8 capture/compare mode register 2 (TIMx_CCMR2)  ,CR,DR,0,1,NO,,,
0x40000000,0x40000020,17.4.9TIM1&TIM8 capture/compare enable register (TIMx_CCER)  ,CR,DR,0,1,NO,,,
0x40000000,0x40000024,17.4.10 TIM1&TIM8 counter (TIMx_CNT)   ,DR,DR,1,1,Yes,,,
0x40000000,0x40000028,17.4.11 TIM1&TIM8 prescaler (TIMx_PSC)  ,CR,DR,0,1,NO,,,
0x40000000,0x4000002c,17.4.12 TIM1&TIM8 auto-reload register (TIMx_ARR) ,CR,DR,0,1,NO,,,
0x40000000,0x40000034,17.4.14 TIM1&TIM8 capture/compare register 1 (TIMx_CCR1) ,DR,DR,0,1,Yes,|Hybrid, for capturing is read only DR, for comparison is CR|
0x40000000,0x40000038,17.4.15 TIM1&TIM8 capture/compare register 2 (TIMx_CCR2) ,DR,DR,0,1,Yes,|Hybrid, for capturing is read only DR, for comparison is CR|
0x40000000,0x4000003c,17.4.16 TIM1&TIM8 capture/compare register 3 (TIMx_CCR3) ,DR,DR,0,1,Yes,|Hybrid, for capturing is read only DR, for comparison is CR|
0x40000000,0x40000040,17.4.17 TIM1&TIM8 capture/compare register 4 (TIMx_CCR4) ,DR,DR,0,1,Yes,|Hybrid, for capturing is read only DR, for comparison is CR|
0x40000000,0x40000048,17.4.19 TIM1&TIM8 DMA control register (TIMx_DCR)  ,CR,DR,0,1,NO,,,
0x40000000,0x4000004c,17.4.20 TIM1&TIM8 DMA address for full transfer (TIMx_DMAR)  ,CR,DR,0,1,NO,,,
0x40000800,0x40000800,TIM1&TIM8 control register 1 (TIMx_CR1)  ,CR,CR,1,1,Yes,,,
0x40000800,0x40000804,17.4.2TIM1&TIM8 control register 2 (TIMx_CR2)  ,CR,DR,0,1,NO,,,
0x40000800,0x40000808,TIM1&TIM8 slave mode control register (TIMx_SMCR)  ,CR,DR,0,1,NO,,,
0x40000800,0x4000080c,17.4.4TIM1&TIM8 DMA/interrupt enable register (TIMx_DIER)   ,CR,DR,0,1,NO,,,
0x40000800,0x40000810,18TIM1&TIM8 status register (TIMx_SR)   ,SR,DR,0,1,NO,,,
0x40000800,0x40000814,17.4.5TIM1&TIM8 event generation register (TIMx_EGR)   ,CR,DR,0,1,NO,,,
0x40000800,0x40000818,17.4.6TIM1&TIM8 capture/compare mode register 1 (TIMx_CCMR1)  ,CR,DR,0,1,NO,,,
0x40000800,0x4000081c,17.4.7TIM1&TIM8 capture/compare mode register 2 (TIMx_CCMR2)  ,CR,DR,0,1,NO,,,
0x40000800,0x40000820,17.4.9TIM1&TIM8 capture/compare enable register (TIMx_CCER)  ,CR,CR,1,1,Yes,,,
0x40000800,0x40000824,17.4.10 TIM1&TIM8 counter (TIMx_CNT)   ,DR,DR,0,1,Yes,,,
0x40000800,0x40000828,17.4.11 TIM1&TIM8 prescaler (TIMx_PSC)  ,CR,DR,0,1,NO,,,
0x40000800,0x4000082c,17.4.12 TIM1&TIM8 auto-reload register (TIMx_ARR) ,CR,DR,0,1,NO,,,
